nw time col row
1 25448 10000 10000
2 12668 10000 10000
3 8438 10000 10000
4 6328 10000 10000
5 5060 10000 10000
6 4219 10000 10000
7 3616 10000 10000
8 3164 10000 10000
9 2815 10000 10000
10 2533 10000 10000
11 2302 10000 10000
12 2112 10000 10000
13 1951 10000 10000
14 1812 10000 10000
15 1691 10000 10000
16 1585 10000 10000
17 1493 10000 10000
18 1410 10000 10000
19 1337 10000 10000
20 1270 10000 10000
21 1230 10000 10000
22 1156 10000 10000
23 1107 10000 10000
24 1063 10000 10000
25 1023 10000 10000
26 981 10000 10000
27 947 10000 10000
28 916 10000 10000
29 881 10000 10000
30 861 10000 10000
31 827 10000 10000
32 833 10000 10000
33 777 10000 10000
34 756 10000 10000
35 743 10000 10000
36 800 10000 10000
37 704 10000 10000
38 687 10000 10000
39 666 10000 10000
40 652 10000 10000
41 632 10000 10000
42 625 10000 10000
43 618 10000 10000
44 588 10000 10000
45 576 10000 10000
46 582 10000 10000
47 569 10000 10000
48 542 10000 10000
49 532 10000 10000
50 545 10000 10000
51 511 10000 10000
52 508 10000 10000
53 576 10000 10000
54 491 10000 10000
55 677 10000 10000
56 486 10000 10000
57 465 10000 10000
58 471 10000 10000
59 473 10000 10000
60 461 10000 10000
61 497 10000 10000
62 429 10000 10000
63 439 10000 10000
64 578 10000 10000
65 593 10000 10000
66 560 10000 10000
67 586 10000 10000
68 595 10000 10000
69 545 10000 10000
70 700 10000 10000
71 559 10000 10000
72 564 10000 10000
73 556 10000 10000
74 576 10000 10000
75 580 10000 10000
76 636 10000 10000
77 566 10000 10000
78 485 10000 10000
79 529 10000 10000
80 542 10000 10000
81 553 10000 10000
82 546 10000 10000
83 563 10000 10000
84 551 10000 10000
85 478 10000 10000
86 536 10000 10000
87 551 10000 10000
88 552 10000 10000
89 496 10000 10000
90 498 10000 10000
91 480 10000 10000
92 509 10000 10000
93 460 10000 10000
94 588 10000 10000
95 534 10000 10000
96 527 10000 10000
97 493 10000 10000
98 494 10000 10000
99 490 10000 10000
100 404 10000 10000
101 493 10000 10000
102 494 10000 10000
103 525 10000 10000
104 496 10000 10000
105 477 10000 10000
106 522 10000 10000
107 505 10000 10000
108 579 10000 10000
109 448 10000 10000
110 483 10000 10000
111 573 10000 10000
112 483 10000 10000
113 505 10000 10000
114 476 10000 10000
115 501 10000 10000
116 479 10000 10000
117 558 10000 10000
118 493 10000 10000
119 444 10000 10000
120 445 10000 10000
121 532 10000 10000
122 495 10000 10000
123 527 10000 10000
124 472 10000 10000
125 479 10000 10000
126 492 10000 10000
127 468 10000 10000
128 463 10000 10000
129 450 10000 10000
130 456 10000 10000
131 495 10000 10000
132 423 10000 10000
133 476 10000 10000
134 468 10000 10000
135 483 10000 10000
136 449 10000 10000
137 490 10000 10000
138 471 10000 10000
139 453 10000 10000
140 456 10000 10000
141 440 10000 10000
142 466 10000 10000
143 430 10000 10000
144 461 10000 10000
145 406 10000 10000
146 414 10000 10000
147 414 10000 10000
148 449 10000 10000
149 447 10000 10000
150 394 10000 10000
151 442 10000 10000
152 417 10000 10000
153 418 10000 10000
154 435 10000 10000
155 430 10000 10000
156 451 10000 10000
157 438 10000 10000
158 430 10000 10000
159 413 10000 10000
160 426 10000 10000
161 427 10000 10000
162 418 10000 10000
163 378 10000 10000
164 403 10000 10000
165 404 10000 10000
166 407 10000 10000
167 403 10000 10000
168 388 10000 10000
169 418 10000 10000
170 394 10000 10000
171 406 10000 10000
172 404 10000 10000
173 401 10000 10000
174 405 10000 10000
175 402 10000 10000
176 395 10000 10000
177 392 10000 10000
178 400 10000 10000
179 391 10000 10000
180 399 10000 10000
181 394 10000 10000
182 390 10000 10000
183 386 10000 10000
184 395 10000 10000
185 400 10000 10000
186 382 10000 10000
187 384 10000 10000
188 393 10000 10000
189 376 10000 10000
190 377 10000 10000
191 375 10000 10000
192 379 10000 10000
193 369 10000 10000
194 382 10000 10000
195 375 10000 10000
196 386 10000 10000
197 370 10000 10000
198 366 10000 10000
199 364 10000 10000
200 371 10000 10000
201 362 10000 10000
202 369 10000 10000
203 373 10000 10000
204 367 10000 10000
205 372 10000 10000
206 366 10000 10000
207 366 10000 10000
208 368 10000 10000
209 358 10000 10000
210 369 10000 10000
211 367 10000 10000
212 366 10000 10000
213 351 10000 10000
214 342 10000 10000
215 348 10000 10000
216 356 10000 10000
217 360 10000 10000
218 344 10000 10000
219 371 10000 10000
220 346 10000 10000
221 357 10000 10000
222 373 10000 10000
223 353 10000 10000
224 358 10000 10000
225 359 10000 10000
226 358 10000 10000
227 355 10000 10000
228 353 10000 10000
229 340 10000 10000
230 344 10000 10000
231 348 10000 10000
232 355 10000 10000
233 351 10000 10000
234 333 10000 10000
235 351 10000 10000
236 354 10000 10000
237 342 10000 10000
238 354 10000 10000
239 351 10000 10000
240 340 10000 10000
241 345 10000 10000
242 338 10000 10000
243 338 10000 10000
244 347 10000 10000
245 346 10000 10000
246 338 10000 10000
247 348 10000 10000
248 352 10000 10000
249 353 10000 10000
250 352 10000 10000
